"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"449",1194.3433839738,1460,1213.65453009626
"450",953.869512295866,609.640799893192,1293.74798428181
"451",972.924885813076,1565,1540
"452",1280,602.137638501514,888.702763411105
"453",1241,1589,783.998864121219
"454",472.15550160681,847.165072509957,1393.64797217722
"455",1373,1068.46954097607,1516
"456",913.156523596832,1442,1495
"457",990.385565015561,1595,907.906485870415
"458",1310,1091.64623586524,1540
"459",1271,1146.30931213071,1525
"460",851.967391538661,1490,1333.31325787919
"461",1304,1230.26285852291,1495
"462",-19.2686205629134,1439,1558
"463",1113.83681732803,1463,1172.79107288174
"464",1289,1505,1031.72092049505
"465",1313,58.2473148948247,1504
"466",1155.25294206109,1499,633.053944394349
"467",1298,1328.90001343471,1597
"468",790.435685232511,1149.30598961738,1213.61060847512
"469",1114.73567496994,967.128788530018,1273.985813231
"470",463.993598812989,1227.35848455408,1053.08809355721
"471",1292,470.903349760214,1114.73715134063
"472",546.5409746265,545.011777072376,608.147680984627
"473",1388,1538,1522
"474",1319,883.06661835866,561.871978904654
"475",1298,1349.55106522989,1534
"476",1358,987.764743205051,1373.50338100908
"477",1238,1329.85265387368,991.344360787613
"478",1349,1027.76633495679,1297.37821183533
"479",1289,241.212603879117,346.837854513255
"480",794.758576327199,1430,870.369637000595
"481",1295,1389.95662322666,1335.00621286256
"482",1271,321.383979629059,1274.29591948078
"483",1385,835.484388815627,793.995636794377
"484",1256,965.506165518317,1193.80660628882
"485",1340,213.926231343374,1501
"486",1235,1451,1050.64115888968
"487",1331,1469,1414.2735689326
"488",1262,1148.72423925798,1525
"489",337.215663384999,574.663225977493,424.499584749527
"490",1247,1149.05608407653,1531
"491",1256,578.923452558447,1112.57378212233
"492",1113.7622144855,1128.40711227052,1543
"493",835.32693683243,1526,1540
"494",1310,1147.954054757,1050.20934577985
"495",1114.98240775608,703.714801367902,857.529612894401
"496",486.21698166124,1369.31879287659,1007.75954933308
"497",651.324603877015,785.674144878694,65.0768467653584
"498",891.744608316517,1478,892.421244662002
"499",1439,1517,1009.65905454564
"500",1277,1270.34800418393,691.158898365279
"501",1286,1068.94533458935,1374.83708395027
"502",1253,1209.65497693096,1504
"503",1325,1389.33185944736,1588
"504",1349,722.168625841311,1233.28629719934
"505",773.552119144152,965.456482076984,1413.98208124361
"506",1268,1290.93015822178,704.938295418895
"507",1388,1067.17931565869,846.256130640057
"508",1253,409.267087062981,1313.85680627876
"509",991.759480783506,812.409037742838,1540
"510",1253,972.384908631118,1023.80954943649
"511",851.073513534853,1128.63293615556,564.027463322301
"512",474.174479250917,622.922900850031,1495
"513",994.912292339338,586.10944272444,1116.61394470114
"514",809.138443353072,791.439104623854,1561
"515",1253,1526,1537
"516",915.854247201047,1249.43753576643,1579
"517",-25.9021842738271,933.225752721619,1214.07964674629
"518",1334,1487,527.898513239926
"519",688.128386448892,1229.11824252937,1507
"520",1277,1442,1516
"521",1241,1475,1312.79645257869
"522",1304,1005.48494908992,1434.43580301304
"523",1310,1445,1570
"524",1235,1146.86588314384,1352.7982745382
"525",1307,1289.50635623513,1252.85396513553
"526",1052.52106268062,1310.3692125035,1112.29111940238
"527",246.650614402721,1389.65780911236,788.983295291838
"528",871.640644961043,453.860446482768,1570
"529",1094.03519805411,1004.07301436398,1585
"530",1388,1439,1355.40322227778
"531",1286,985.600847955996,1504
"532",1238,445.452515188756,1235.35139006023
"533",1307,1499,1089.55847934637
"534",1194.83648234062,1526,1334.92923037888
"535",1114.22617881829,1511,1516
"536",1031.43845432195,1027.76610311134,950.996427048358
"537",753.12734991602,611.44109270482,1292.92184441968
"538",1075.50081307367,829.929130233962,1507
"539",1307,752.882313949496,1195.37446902917
"540",1154.65649669241,1529,1110.4545980493
"541",1304,1562,1088.86949903098
"542",893.586581226843,1451,1504
"543",753.644117663021,1430,1561
"544",1241,1066.60606812748,1196.03539202194
"545",1286,1330.5604038518,1092.76081635633
"546",1337,1248.41896263137,1558
"547",1174.35768177786,1069.53760191102,1216.31360492977
"548",1292,1514,1373.99770688424
"549",1259,1472,1504
"550",1301,1004.62159221705,991.383751015947
"551",724.46577565277,1349.23426467875,1434.65195809784
"552",1259,696.469063659509,1116.1109251726
"553",1358,632.986666815679,951.437394637018
"554",1280,1445,1561
"555",1093.355647392,1148.46078843245,1507
"556",1253,847.45998150982,848.676840343831
"557",854.853977828503,1514,1549
"558",1292,539.798679078232,1519
"559",1175.37223101206,1523,1394.55345577314
"560",772.462576510016,1010.11499683666,1314.52353026383
"561",1265,1045.03236961454,1552
"562",1256,1247.72184550906,1173.84649562918
"563",1053.2893867611,712.028801071434,1555
"564",1271,791.052542064629,1510
"565",991.948986679465,1508,150.907818103601
"566",411.490291074794,1189.27200838972,1394.20794797184
"567",1175.08570155434,1466,587.87886313843
"568",954.739591781679,1290.04018460814,1513
"569",1310,1088.38066509141,1097.98983132821
"570",751.523385308773,1409.82546860135,126.764281441251
"571",1271,1457,1522
"572",851.084351299793,1451,908.929354789343
"573",1295,1209.92534591919,1552
"574",1247,651.102780497751,1355.16770309866
"575",1283,1329.56334620992,1273.1374013088
"576",1055.93732687362,1448,1009.49309063874
"577",1346,1496,1274.34527901802
"578",1093.84906121236,1269.4923006518,1212.02497576136
"579",1154.50637885953,646.007645290197,1255.07629993333
"580",1135.11924534362,1147.14767637103,490.634851431543
"581",954.978906108319,1460,1253.35927369201
"582",1298,604.084127278023,1540
"583",1253,1448,1272.82271573383
"584",912.747392961943,405.286939546861,1528
"585",1073.18889994795,1086.41841464858,1591
"586",372.705665322275,1481,503.64444242249
"587",1337,752.415750630171,635.410756739147
"588",1238,1288.72979996994,1374.51629461022
"589",1235,1348.99397342673,1414.67787056037
"590",1325,1529,1130.68752509657
"591",1310,1493,1552
"592",627.096897134493,1445,819.040556164699
"593",995.189344023323,818.492215308343,396.989574736911
"594",1259,341.340093821036,1504
"595",1280,1469,866.657255458364
"596",1313,1469,1153.65246456559
"597",892.721412564466,1268.35969997575,1528
"598",1154.98696727777,669.585290824624,-29.8624445129635
"599",1379,1168.07561927264,1576
"600",777.066611456885,1147.29915258957,1434.80991539229
"601",1238,865.69373825944,1336.00943207077
"602",1174.72495973599,468.350022052651,708.721587372248
"603",1247,966.621836910318,973.054656210158
"604",1286,1448,968.753312219379
"605",1265,808.022737511655,1528
"606",774.469156789602,1457,669.192372527908
"607",1280,1369.74791559983,1212.07066863003
"608",1352,609.072716432168,1510
"609",1298,1520,1585
"610",1310,1169.72988981945,189.526742066585
"611",1310,588.366777233614,1537
"612",1074.74827796016,987.815088045978,1454.96392874608
"613",895.704996779427,1433,870.697867153925
"614",631.661686424249,1640,1134.17198665852
"615",1295,790.963950055017,1216.36515917881
"616",1298,1430,684.011977596633
"617",1295,685.419599858196,1073.51112409167
"618",513.630818883566,984.524285527854,1522
"619",1244,730.249630584769,1434.43434340249
"620",1093.41254692604,728.924530136597,511.491805014524
"621",1319,1007.91644349312,797.816477051488
"622",790.905724417194,1535,1537
"623",1382,1469,525.659349374138
"624",1289,1466,795.813339130876
"625",1247,905.637721781825,1435.20769282856
"626",1214.9675930743,650.79284563456,1049.0209170898
"627",1382,1484,1522
"628",1250,1529,-109.242986687597
"629",1238,365.043410898946,1555
"630",1238,943.325914538914,1434.33233642212
"631",972.171040964239,542.770090000218,1522
"632",1262,1230.02941408689,1454.64967370812
"633",1247,1087.10778820046,1552
"634",1298,679.180274410004,1504
"635",1244,1329.65161808405,1234.90480611343
"636",973.560613545327,1508,670.043669621794
"637",732.522923558012,448.949841870369,1010.1636922536
"638",1337,830.155766668812,1210.95295000852
"639",1343,1349.35799282852,1435.14690292527
"640",1075.19276088443,1231.56355581957,1594
"641",1074.60580948369,175.434845293576,1093.99393773355
"642",510.731719656811,1442,1414.43004396536
"643",1074.08447722113,1430,468.896175484917
